VAL,SMA,WMA,MOM,STCK,STCD,RSI,MACD,LWR,CCI
0.04663817161970489,0.031056737906419614,0.03389319384034834,0.6516332600741247,0.9576287836925157,0.5539243165618712,0.44891895987247443,0.7198654255178725,0.0423712163074845,0.7568732504685178
0.04205936001352935,0.03098314606409129,0.0338859256418635,0.645232266473462,0.567805611837662,0.5429888716793808,0.41739678037999206,0.7157473234079444,0.43219438816233813,0.5781503087362956
0.040486429094155715,0.030936370046622686,0.03377890527895224,0.6567195836864569,0.43389206115306683,0.5360381480031405,0.47571749225727766,0.7105599296972417,0.5661079388469332,0.5174386540460922
0.04203945542932692,0.031135838672210436,0.03377802818718812,0.6636926140080263,0.5661110087800086,0.5656783647973946,0.5098645592807647,0.7082863389757368,0.43388899121999136,0.5710885326420079
0.0472155487976928,0.03154439847535871,0.034108145026858,0.6758087989516595,1.0,0.5655978008756685,0.559848021677655,0.7126012009886656,0.0,0.7793218241800641
0.0453044202420246,0.031853917252892446,0.03428515199586831,0.6569487710371784,0.8260932337142876,0.6147570775563114,0.4746164277710121,0.7136571969948898,0.17390676628571242,0.6895598575086515
0.044209415697685425,0.03196465757752014,0.03436959932013572,0.6633495576031972,0.7264512191520569,0.632345394173011,0.5093894765535986,0.7131119404161377,0.27354878084794315,0.6340109586400784
0.04414955770896072,0.032188192549432636,0.03444297494750174,0.667349777473989,0.7210043279815987,0.6678483049159549,0.5325326161588433,0.7125410935063561,0.2789956720184013,0.623653893658657
0.04835047068752489,0.03260707379782896,0.034781034708473414,0.6755804397395132,1.0,0.5333286230648598,0.5674070859615682,0.7169896216801844,0.0,0.8269811495940614
0.04870875320316865,0.032992249952539715,0.03511604855734366,0.6694080123856406,1.0,0.42128629592564404,0.5415855232603954,0.7207810111205591,0.0,0.8364713057320322
0.04992300495757565,0.03333271562463063,0.03550702640096196,0.6751225826246797,1.0,0.37308547985162355,0.5696783117886713,0.7250254317995624,0.0,0.8732319724588253
0.049743971876841826,0.03369381795822214,0.0358642967626871,0.6712367493946049,0.9812647165368592,0.33263519588066137,0.5523216155967823,0.7279306424320792,0.018735283463140733,0.8456605316541396
0.04942531823445617,0.03400333175255964,0.03617726421115562,0.6654635883513614,0.9479185534021616,0.38916778778624445,0.5251490984772381,0.7295885836429343,0.05208144659783856,0.8121759033323627
0.05038095463034897,0.03428739262621373,0.03653386783305967,0.6624348785467494,1.0,0.39846798004430145,0.5109386987053137,0.7317556457866615,0.0,0.8368141066290743
0.049505080807383306,0.03447172728476794,0.03681409693534225,0.6649499354000153,0.9125340285479712,0.430596926199334,0.5263847757455653,0.7321334746599769,0.08746597145202875,0.776892945941689
0.04550343002501956,0.034578337785497376,0.0368167401052985,0.6516331565568028,0.5129236464199807,0.4491787982377419,0.4507820457644603,0.7274129383554621,0.48707635358001933,0.5765422027173088
0.04910677276915857,0.03478742896305797,0.03705187158707851,0.656262244158233,0.8727584369193542,0.485622727111612,0.4730366494401864,0.727734942179108,0.12724156308064585,0.744174337491142
0.04866887191670508,0.03491260934464038,0.037244520997146306,0.6558624602609942,0.829029052097887,0.5074412704667968,0.47089029832134377,0.7272303761100881,0.170970947902113,0.714529544249225
0.04622013929242449,0.0349635064654137,0.03726651375181529,0.6614063304361941,0.5844952252005704,0.5163124771384003,0.5016095139792145,0.7237087225828319,0.4155047747994296,0.5933994844256695
0.047056276065044,0.035194610912441075,0.037340777966459626,0.6536338358374693,0.6639880757148375,0.5473974177444374,0.4636683450992329,0.7217435489847587,0.3360119242851624,0.6263466351441827
0.04667808896519781,0.03529022225323155,0.037375115466392585,0.6541480063754249,0.6257662227858803,0.5642631941911973,0.46664834565610736,0.719585848014648,0.37423377721411966,0.6020951617505318
0.04757386737236591,0.035436035558917445,0.03746282033198377,0.6510615339051838,0.7162989526162726,0.5899845636054355,0.45049267022757533,0.7188067325892069,0.28370104738372726,0.643068770313524
0.04422924816382915,0.035398203132931724,0.03731904513813849,0.6387736137244923,0.3782717075197341,0.5833109490128756,0.38330831026069123,0.714107730715403,0.6217282924802658,0.46634310501257326
0.04369171621327546,0.035309471094574565,0.037141993464350945,0.6347161487746811,0.3239455098069228,0.5676586769055559,0.3613216928557657,0.7097069376226189,0.6760544901930773,0.4445629611213562
0.04126296029125599,0.03510656904676556,0.03680931927193121,0.6323728271584734,0.07848089271787695,0.5318668916356785,0.3497157844817663,0.7033559788129086,0.921519107282123,0.34058218287009173
0.04142212484681674,0.03496487559858545,0.036500217988397136,0.6296294110930613,0.09456701579457576,0.5068722623247591,0.3337939808805655,0.6986063982356574,0.9054329842054244,0.36472467847808515
0.046060758382687625,0.03494492661816824,0.036508276104330446,0.6470604858958168,0.5633750974861332,0.503353275546879,0.42690962503841906,0.7004568351517604,0.4366249025138667,0.5863786358726392
0.04685726628204904,0.03500201411449228,0.03657051345660916,0.6605492070107314,0.6438749553568175,0.5134234716443985,0.5001263180767014,0.7029187325747402,0.35612504464318256,0.6216708655204269
0.04414955770896072,0.0351003674590233,0.03644925733635533,0.6407735683839053,0.3702177129570915,0.530772935713597,0.3932606459200844,0.7016923788700854,0.6297822870429085,0.48464659539282756
0.042377833360768245,0.0349930642940141,0.03620402784368907,0.6323730341931173,0.19115664108338984,0.5118447293092774,0.3476283036181276,0.6986959510170734,0.8088433589166102,0.4068373933834896
0.04456780639041724,0.03492153549493629,0.03611112365284121,0.6518046847592173,0.4124884292159564,0.4992270970830387,0.45560720484127004,0.6990265068767283,0.5875115707840436,0.5158123302030745
